planet_mass0,period0,eccentricity0,inclination0,argument0,longnode0,mean_anomaly0,planet_mass1,period1,eccentricity1,inclination1,argument1,longnode1,mean_anomaly1,planet_mass2,period2,eccentricity2,inclination2,argument2,longnode2,mean_anomaly2,planet_mass3,period3,eccentricity3,inclination3,argument3,longnode3,mean_anomaly3,star_mass,num_planets,chi2
1.0231678551633186e-05,45.153649787885,0.03490772945912303,90.0,-130.01617841725425,0.0,-170.13366450312094,1.3162449609876836e-05,85.31596222930072,0.03282280922428733,90.0,-38.89223288449406,0.0,-106.18942098918525,1.0000015607577594e-06,111.4909828720006,0.006874063450696614,90.0,21.786219993139415,1.7655625192200639e-31,-7.070885482134331,1.4109824667116868e-05,130.19059130300164,0.023430889263279055,90.0,-49.68130337034178,0.0,-19.769153723494796,1.0,4,90.22781312531625
4.339549954975424e-06,45.15390746687847,0.03904998279627622,90.0,-130.2516550259767,0.0,-169.56580134988178,1.27182663597503e-05,85.31469028595272,0.018435782662867117,90.0,-56.252927569893636,-3.531125038440127e-31,-87.04697531962888,1.0000447610459649e-06,103.92736271018067,0.008329544881488935,90.0,20.1253946244842,0.0,132.22685709750036,1.1651785804361492e-05,130.18649659721987,0.013935034626405197,90.0,-75.45498401336337,-3.5311250384401278e-31,7.3580010605669095,1.0,4,90.29502908678492
1.0068499696744397e-05,45.15359510615788,0.025370106525764734,90.0,-132.16342279118635,-3.531125038440126e-31,-168.63248530776775,1.4997821093979406e-05,85.31757481833583,0.035867833694401524,90.0,-29.203426986398675,5.296687557660189e-31,-116.52205029156073,1.189655538392097e-06,104.48644923380866,0.038637211089389674,90.0,-25.40800921056838,-7.062250076880252e-31,-90.24197327958476,1.3253926416202705e-05,130.18684590480066,0.024432401642420075,90.0,-34.52104170179728,0.0,-35.50469327189785,1.0,4,90.33873864914506
9.964035918062181e-06,45.15399069246719,0.028855113952127826,90.0,-140.4295550079874,0.0,-159.76083114111367,1.4165313138101563e-05,85.31855368456412,0.010921352318681634,90.0,-11.947296256070926,1.7655625192200634e-31,-131.37077545224216,1.000073115051977e-06,103.69538200189392,0.012887897486935335,90.0,12.532094230752348,-1.7655625192200639e-31,-135.06258078670336,1.0993140767520027e-05,130.18819936233922,0.004056903893481659,90.0,-39.50450869633458,-3.5311250384401278e-31,-28.549276410517592,1.0,4,90.67629036817202
1.1572407295785781e-05,45.15350767896879,0.024953548943848016,90.0,-130.93903043642868,3.5311250384401278e-31,-169.93553098956977,1.4942447684533398e-05,85.31725793489574,0.03984924210372377,90.0,-28.797333584821672,0.0,-117.37140261526741,1.069511317726255e-06,104.57121237867659,0.04253377479807883,90.0,-27.68772346825571,5.29668755766019e-31,-81.09295418105609,1.4636787277895618e-05,130.18690472229014,0.027681485277650197,90.0,-33.93016292426131,0.0,-36.42840729017765,1.0,4,90.90313095228902
6.770905723444916e-06,45.1540296551513,0.05627878572563847,90.0,-130.22191401735228,0.0,-168.2508890560135,1.0084669541370241e-05,85.3137022265772,0.0037745073804473107,90.0,-30.596385256041387,5.29668755766019e-31,-111.90618546585112,1.0000709213366795e-06,104.03407249398408,0.02761052156379956,90.0,5.2059929129014595,4.413906298050161e-32,77.57293844636943,1.026182643928237e-05,130.1872189368804,0.006295017403396461,90.0,-121.50049163828858,-1.7655625192200639e-31,54.18590959650397,1.0,4,91.08455866787097
2.4591364966391106e-05,45.15379772657848,0.017947848542115317,90.0,-167.72010708585492,1.7655625192200639e-31,-133.0400017086555,1.7304007255848865e-05,85.3154061815547,0.013470466977978055,90.0,14.33006291150744,0.0,-157.9523207795609,1.0317649493603852e-06,104.12561107932247,0.043548509478824944,90.0,-41.197139337499905,3.531125038440127e-31,48.16547957501782,2.0760897149676507e-05,130.19693221627998,0.006720566432353364,90.0,26.592960468183456,1.7655625192200634e-31,-94.96653306185055,1.0,4,91.217786650805
1.5683319729187213e-05,45.153307727507155,0.022895467088940528,90.0,-130.4313081224664,-3.5311250384401278e-31,-170.61934006203103,1.5543609582386186e-05,85.32211056228712,0.05143311017255928,90.0,-29.427134579763923,3.531125038440127e-31,-117.88993868015042,1.000005042819174e-06,104.47520314279795,0.048507463410169656,90.0,-16.350867797862332,7.0622500768802555e-31,71.1615571908171,1.4877828473148866e-05,130.18957296740206,0.03629253153248595,90.0,-33.879144340910344,-3.5311250384401278e-31,-37.321936136193116,1.0,4,91.35049134910608
6.357331443599198e-06,45.154058045358894,0.04111828481894406,90.0,-132.2684593610269,0.0,-167.26268396697722,1.2188288814116907e-05,85.31585981687313,0.010072122432600398,90.0,-59.45155961013299,-3.531125038440127e-31,-83.26061925794838,1.0001030936478092e-06,103.98177208530252,0.017718150027219902,90.0,36.546789655445274,0.0,-144.7790389337979,1.011802676065722e-05,130.18730491248343,0.008770232211756887,90.0,-94.16823715189547,-2.6483437788300956e-31,26.55164811727648,1.0,4,91.422618292349
7.585992756933031e-06,45.15400111495155,0.03865487645401551,90.0,-132.99387374208058,-3.5311250384401278e-31,-166.69437458768067,1.2559106225378738e-05,85.31797810781555,0.01180245150206304,90.0,-49.19290038452633,-1.0593375115320388e-30,-93.80203829290448,1.000182307588648e-06,103.91494856422682,0.012586976104445174,90.0,53.81377679924255,0.0,-168.50847946352653,1.2346890042638642e-05,130.18757591182793,0.008852852024715852,90.0,-82.16511800559117,4.413906298050158e-31,14.334706319781434,1.0,4,91.80953636155962
